Task,Dir,Model,Flip (Ext),Flip (Int),sFID,Face ID %,Face Cosine,L1,L2,L1.5
Smiling,0 -> 1,MyModel_CBM_final_2,0.8303,0.1962,10.99,0,0,0.0141,0.0352,0.0241
Smiling,0 -> 1,Baseline_final_2,0.9475,0.32,10.31,0,0,0.0193,0.0335,0.0259
Smiling,0 -> 1,MyModel_CBM_final,0.8416,0.3111,10.71,0,0,0.0137,0.0336,0.0231
Smiling,0 -> 1,Baseline_final,0.9984,0.6217,11.58,0,0,0.0227,0.0428,0.0319
Smiling,0 -> 1,MyModel_CBM_final_3,0.9884,0.6633,12.09,0,0,0.0162,0.0404,0.0277
Smiling,0 -> 1,Baseline_final_3,1.0,0.9831,24.89,0,0,0.0417,0.0779,0.0588
Smiling,0 -> 1,MyModel_CBM_final_1,0.9969,0.7745,12.32,0,0,0.017,0.0425,0.0292
Smiling,0 -> 1,Baseline_final_1,0.6184,0.1003,9.64,0,0,0.0166,0.0268,0.0215
